證期會代碼,公司簡稱,分類代碼,分類名稱
067064,LG元大,0999,認購權證
067065,LH元大,0999,認購權證
067066,LI元大,0999,認購權證
067067,LJ元大,0999,認購權證
067068,LK元大,0999,認購權證
067069,LL元大,0999,認購權證
067070,LM元大,0999,認購權證
067071,LN元大,0999,認購權證
067072,國泰HT,0999,認購權證
067073,日盛AW,0999,認購權證
067074,日盛AX,0999,認購權證
067075,日盛AY,0999,認購權證
067076,群益FE,0999,認購權證
067077,群益FF,0999,認購權證
067078,群益FG,0999,認購權證
067079,兆豐3G,0999,認購權證
067080,F8亞東,0999,認購權證
067081,永豐2T,0999,認購權證
067082,永豐2U,0999,認購權證
067083,永豐2V,0999,認購權證
067084,永豐2W,0999,認購權證
067085,永豐2X,0999,認購權證
067086,永豐2Y,0999,認購權證
067087,永豐2Z,0999,認購權證
067088,元富4J,0999,認購權證
067089,元富4K,0999,認購權證
067090,元富4L,0999,認購權證
067091,元富4M,0999,認購權證
067092,元富4N,0999,認購權證
067093,元富4P,0999,認購權證
067094,凱基LU,0999,認購權證
067095,凱基LV,0999,認購權證
067096,凱基LW,0999,認購權證
067097,凱基LX,0999,認購權證
067098,凱基MA,0999,認購權證
067099,凱基MB,0999,認購權證
067100,凱基MC,0999,認購權證
067101,凱基MD,0999,認購權證
067102,凱基ME,0999,認購權證
067103,凱基MG,0999,認購權證
067104,凱基MH,0999,認購權證
067105,工銀07,0999,認購權證
067106,統一ML,0999,認購權證
067107,統一MM,0999,認購權證
067108,統一MN,0999,認購權證
067109,59中信,0999,認購權證
067110,60中信,0999,認購權證
067111,61中信,0999,認購權證
067112,62中信,0999,認購權證
067113,LQ元大,0999,認購權證
067114,LR元大,0999,認購權證
067115,LS元大,0999,認購權證
067116,LT元大,0999,認購權證
067117,國泰HU,0999,認購權證
067118,國泰HV,0999,認購權證
067119,凱基MJ,0999,認購權證
067120,凱基MK,0999,認購權證
067121,工銀08,0999,認購權證
067122,工銀09,0999,認購權證
067123,永豐3A,0999,認購權證
067124,永豐3B,0999,認購權證
067125,永豐3C,0999,認購權證
067126,永豐3D,0999,認購權證
067127,永豐3H,0999,認購權證
067128,永豐3I,0999,認購權證
067129,康和GR,0999,認購權證
067130,康和GS,0999,認購權證
067131,康和GT,0999,認購權證
067132,國票JE,0999,認購權證
067133,元富4Q,0999,認購權證
067134,元富4R,0999,認購權證
067135,元富4S,0999,認購權證
067136,元富4T,0999,認購權證
067137,統一MR,0999,認購權證
067138,統一MS,0999,認購權證
067139,統一MT,0999,認購權證
067140,F9亞東,0999,認購權證
067141,G1亞東,0999,認購權證
067142,G2亞東,0999,認購權證
067143,G3亞東,0999,認購權證
067144,A3富邦,0999,認購權證
067145,A4富邦,0999,認購權證
067146,A5富邦,0999,認購權證
067147,A6富邦,0999,認購權證
067148,A7富邦,0999,認購權證
067149,A8富邦,0999,認購權證
067150,63中信,0999,認購權證
067151,64中信,0999,認購權證
067152,兆豐3H,0999,認購權證
067153,兆豐3J,0999,認購權證
067154,兆豐3K,0999,認購權證
067155,兆豐3L,0999,認購權證
067156,兆豐3M,0999,認購權證
067157,兆豐3N,0999,認購權證
067158,兆豐3S,0999,認購權證
067159,兆豐3T,0999,認購權證
067160,群益FK,0999,認購權證
067161,群益FL,0999,認購權證
067162,日盛AZ,0999,認購權證
067163,日盛BA,0999,認購權證
067164,日盛BB,0999,認購權證
067165,日盛BC,0999,認購權證
067166,日盛BD,0999,認購權證
067167,元富4W,0999,認購權證
067168,元富4X,0999,認購權證
067169,統一MV,0999,認購權證
067170,統一MW,0999,認購權證
067171,統一MX,0999,認購權證
067172,統一MY,0999,認購權證
067173,統一MZ,0999,認購權證
067174,統一NA,0999,認購權證
067175,凱基MM,0999,認購權證
067176,凱基MN,0999,認購權證
067177,凱基MQ,0999,認購權證
067178,凱基MR,0999,認購權證
067179,凱基MS,0999,認購權證
067180,凱基MT,0999,認購權證
067181,凱基MU,0999,認購權證
067182,凱基MX,0999,認購權證
067183,凱基MY,0999,認購權證
067184,永昌FJ,0999,認購權證
067185,永昌FK,0999,認購權證
067186,永昌FL,0999,認購權證
067187,永昌FM,0999,認購權證
067188,永昌FN,0999,認購權證
067189,永昌FP,0999,認購權證
067190,永昌FQ,0999,認購權證
067191,LV元大,0999,認購權證
067192,LW元大,0999,認購權證
067193,LX元大,0999,認購權證
067194,LY元大,0999,認購權證
067195,LZ元大,0999,認購權證
067196,MA元大,0999,認購權證
067197,國泰HW,0999,認購權證
067198,國泰HX,0999,認購權證
067199,B2富邦,0999,認購權證
067200,B3富邦,0999,認購權證
067201,日盛BE,0999,認購權證
067202,67中信,0999,認購權證
067203,68中信,0999,認購權證
067204,69中信,0999,認購權證
067205,70中信,0999,認購權證
067206,71中信,0999,認購權證
067207,72中信,0999,認購權證
067208,元富4Y,0999,認購權證
067209,元富4Z,0999,認購權證
067210,永豐3J,0999,認購權證
067211,永豐3K,0999,認購權證
067212,凱基MZ,0999,認購權證
067213,凱基NA,0999,認購權證
067214,凱基NC,0999,認購權證
067215,凱基ND,0999,認購權證
067216,工銀12,0999,認購權證
067217,國泰HY,0999,認購權證
067218,國泰HZ,0999,認購權證
067219,國泰JA,0999,認購權證
067220,國泰JB,0999,認購權證
067221,MC元大,0999,認購權證
067222,MD元大,0999,認購權證
067223,B5富邦,0999,認購權證
067224,日盛BF,0999,認購權證
067225,日盛BG,0999,認購權證
067226,日盛BH,0999,認購權證
067227,日盛BJ,0999,認購權證
067228,ME元大,0999,認購權證
067229,MF元大,0999,認購權證
067230,MG元大,0999,認購權證
067231,MH元大,0999,認購權證
067232,國票JF,0999,認購權證
067233,國票JG,0999,認購權證
067234,國票JH,0999,認購權證
067235,康和GV,0999,認購權證
067236,康和GW,0999,認購權證
067237,元富5H,0999,認購權證
067238,凱基NE,0999,認購權證
067239,凱基NF,0999,認購權證
067240,凱基NG,0999,認購權證
067241,凱基NH,0999,認購權證
067242,國泰JE,0999,認購權證
067243,永豐3M,0999,認購權證
067244,永豐3N,0999,認購權證
067245,群益FN,0999,認購權證
067246,群益FP,0999,認購權證
067247,群益FQ,0999,認購權證
067248,群益FR,0999,認購權證
067249,群益FS,0999,認購權證
067250,群益FT,0999,認購權證
067251,群益FU,0999,認購權證
067252,群益FV,0999,認購權證
067253,統一NC,0999,認購權證
067254,統一ND,0999,認購權證
067255,統一NE,0999,認購權證
067256,統一NF,0999,認購權證
067257,統一NG,0999,認購權證
067258,日盛BL,0999,認購權證
067259,ML元大,0999,認購權證
067260,MM元大,0999,認購權證
067261,MN元大,0999,認購權證
067262,MP元大,0999,認購權證
067263,MQ元大,0999,認購權證
067264,MR元大,0999,認購權證
067265,MS元大,0999,認購權證
067266,MT元大,0999,認購權證
067267,國泰JG,0999,認購權證
067268,國泰JH,0999,認購權證
067269,元富5L,0999,認購權證
067270,元富5M,0999,認購權證
067271,元富5N,0999,認購權證
067272,元富5P,0999,認購權證
067273,元富5Q,0999,認購權證
067274,永豐3Q,0999,認購權證
067275,永豐3R,0999,認購權證
067276,群益GA,0999,認購權證
067277,群益GB,0999,認購權證
067278,群益GC,0999,認購權證
067279,群益GD,0999,認購權證
067280,群益GE,0999,認購權證
067281,群益GF,0999,認購權證
067282,群益GG,0999,認購權證
067283,凱基NK,0999,認購權證
067284,凱基NL,0999,認購權證
067285,凱基NM,0999,認購權證
067286,凱基NN,0999,認購權證
067287,凱基NQ,0999,認購權證
067288,統一NJ,0999,認購權證
067289,統一NK,0999,認購權證
067290,統一NL,0999,認購權證
067291,統一NM,0999,認購權證
067292,B8富邦,0999,認購權證
067293,B9富邦,0999,認購權證
067294,日盛BM,0999,認購權證
067295,74中信,0999,認購權證
067296,75中信,0999,認購權證
067297,77中信,0999,認購權證
067298,78中信,0999,認購權證
067299,MZ元大,0999,認購權證
067300,NA元大,0999,認購權證
067301,NB元大,0999,認購權證
067302,NC元大,0999,認購權證
067303,ND元大,0999,認購權證
067304,NE元大,0999,認購權證
067305,NF元大,0999,認購權證
067306,NG元大,0999,認購權證
067307,康和GY,0999,認購權證
067308,康和GZ,0999,認購權證
067309,康和HA,0999,認購權證
067310,元富5R,0999,認購權證
067311,元富5S,0999,認購權證
067312,元富5T,0999,認購權證
067313,元富5U,0999,認購權證
067314,元富5V,0999,認購權證
067315,元富5W,0999,認購權證
067316,元富5X,0999,認購權證
067317,凱基NS,0999,認購權證
067318,凱基NT,0999,認購權證
067319,凱基NU,0999,認購權證
067320,凱基NV,0999,認購權證
067321,凱基NW,0999,認購權證
067322,兆豐3V,0999,認購權證
067323,兆豐3W,0999,認購權證
067324,兆豐3X,0999,認購權證
067325,永豐3V,0999,認購權證
067326,永豐3W,0999,認購權證
067327,永豐3X,0999,認購權證
067328,永豐3Y,0999,認購權證
067329,永豐3Z,0999,認購權證
067330,永豐4C,0999,認購權證
067331,統一NQ,0999,認購權證
067332,統一NR,0999,認購權證
067333,統一NS,0999,認購權證
067334,永昌FR,0999,認購權證
067335,永昌FS,0999,認購權證
067336,永昌FT,0999,認購權證
067337,C2富邦,0999,認購權證
067338,C3富邦,0999,認購權證
067339,C4富邦,0999,認購權證
067340,日盛BN,0999,認購權證
067341,日盛BP,0999,認購權證
067342,NK元大,0999,認購權證
067343,國泰JK,0999,認購權證
067344,79中信,0999,認購權證
067345,80中信,0999,認購權證
067346,國票JL,0999,認購權證
067347,國票JN,0999,認購權證
067348,國票JP,0999,認購權證
067349,國票JQ,0999,認購權證
067350,元富5Z,0999,認購權證
067351,元富6A,0999,認購權證
067352,元富6B,0999,認購權證
067353,元富6C,0999,認購權證
067354,元富6D,0999,認購權證
067355,群益GL,0999,認購權證
067356,群益GM,0999,認購權證
067357,群益GN,0999,認購權證
067358,群益GP,0999,認購權證
067359,群益GQ,0999,認購權證
067360,群益GR,0999,認購權證
067361,群益GZ,0999,認購權證
067362,群益HA,0999,認購權證
067363,永豐4D,0999,認購權證
067364,永豐4E,0999,認購權證
067365,凱基NX,0999,認購權證
067366,凱基NY,0999,認購權證
067367,凱基NZ,0999,認購權證
067368,A1凱基,0999,認購權證
067369,A2凱基,0999,認購權證
067370,兆豐3Y,0999,認購權證
067371,兆豐3Z,0999,認購權證
067372,兆豐4A,0999,認購權證
067373,兆豐4B,0999,認購權證
067374,兆豐4C,0999,認購權證
067375,兆豐4D,0999,認購權證
067376,兆豐4E,0999,認購權證
067377,兆豐4F,0999,認購權證
067378,兆豐4G,0999,認購權證
067379,兆豐4H,0999,認購權證
067380,兆豐4J,0999,認購權證
067381,兆豐4K,0999,認購權證
067382,統一NW,0999,認購權證
067383,統一NX,0999,認購權證
067384,C5富邦,0999,認購權證
067385,C6富邦,0999,認購權證
067386,C7富邦,0999,認購權證
067387,C8富邦,0999,認購權證
067388,C9富邦,0999,認購權證
067389,D1富邦,0999,認購權證
067390,D2富邦,0999,認購權證
067391,NL元大,0999,認購權證
067392,NM元大,0999,認購權證
067393,NN元大,0999,認購權證
067394,NP元大,0999,認購權證
067395,NQ元大,0999,認購權證
067396,NR元大,0999,認購權證
067397,G6亞東,0999,認購權證
067398,D7富邦,0999,認購權證
067399,D8富邦,0999,認購權證
067400,D9富邦,0999,認購權證
067401,國票JT,0999,認購權證
067402,國票JU,0999,認購權證
067403,統一NY,0999,認購權證
067404,統一NZ,0999,認購權證
067405,統一1A,0999,認購權證
067406,元富6E,0999,認購權證
067407,元富6F,0999,認購權證
067408,元富6G,0999,認購權證
067409,元富6H,0999,認購權證
067410,元富6J,0999,認購權證
067411,永豐4F,0999,認購權證
067412,永豐4G,0999,認購權證
067413,永豐4H,0999,認購權證
067414,A9凱基,0999,認購權證
067415,B1凱基,0999,認購權證
067416,B2凱基,0999,認購權證
067417,B3凱基,0999,認購權證
067418,B4凱基,0999,認購權證
067419,B5凱基,0999,認購權證
067420,B6凱基,0999,認購權證
067421,B7凱基,0999,認購權證
067422,B8凱基,0999,認購權證
067423,B9凱基,0999,認購權證
067424,C1凱基,0999,認購權證
067425,C2凱基,0999,認購權證
067426,C3凱基,0999,認購權證
067427,C4凱基,0999,認購權證
067428,C5凱基,0999,認購權證
067429,C6凱基,0999,認購權證
067430,C7凱基,0999,認購權證
067431,C8凱基,0999,認購權證
067432,C9凱基,0999,認購權證
067433,D1凱基,0999,認購權證
067434,D2凱基,0999,認購權證
067435,D8凱基,0999,認購權證
067436,D9凱基,0999,認購權證
067437,E1凱基,0999,認購權證
067438,E2凱基,0999,認購權證
067439,D5富邦,0999,認購權證
067440,日盛BR,0999,認購權證
067441,日盛BS,0999,認購權證
067442,群益HI,0999,認購權證
067443,群益HJ,0999,認購權證
067444,群益HK,0999,認購權證
067445,群益HL,0999,認購權證
067446,群益HN,0999,認購權證
067447,群益HP,0999,認購權證
067448,群益HQ,0999,認購權證
067449,群益HR,0999,認購權證
067450,群益HS,0999,認購權證
067451,群益HT,0999,認購權證
067452,群益HU,0999,認購權證
067453,群益HV,0999,認購權證
067454,永豐4I,0999,認購權證
067455,永豐4J,0999,認購權證
067456,81中信,0999,認購權證
067457,82中信,0999,認購權證
067458,83中信,0999,認購權證
067459,工銀14,0999,認購權證
067460,E5凱基,0999,認購權證
067461,G7亞東,0999,認購權證
067462,G8亞東,0999,認購權證
067463,G9亞東,0999,認購權證
067464,NT元大,0999,認購權證
067465,NU元大,0999,認購權證
067466,NV元大,0999,認購權證
067467,NW元大,0999,認購權證
067468,NX元大,0999,認購權證
067469,NY元大,0999,認購權證
067470,NZ元大,0999,認購權證
067471,XA元大,0999,認購權證
067472,XB元大,0999,認購權證
067473,XC元大,0999,認購權證
067474,統一1B,0999,認購權證
067475,統一1C,0999,認購權證
067476,元富6L,0999,認購權證
067477,元富6M,0999,認購權證
067478,元富6N,0999,認購權證
067479,元富6P,0999,認購權證
067480,元富6Q,0999,認購權證
067481,元富6R,0999,認購權證
067482,元富6S,0999,認購權證
067483,元富6T,0999,認購權證
067484,康和HD,0999,認購權證
067485,兆豐4L,0999,認購權證
067486,兆豐4M,0999,認購權證
067487,兆豐4R,0999,認購權證
067488,A3凱基,0999,認購權證
067489,A8凱基,0999,認購權證
067490,國票JW,0999,認購權證
067491,國票JX,0999,認購權證
067492,國票JY,0999,認購權證
067493,永昌FU,0999,認購權證
067494,永昌FV,0999,認購權證
067495,永昌FW,0999,認購權證
067496,永昌FX,0999,認購權證
067497,永昌FY,0999,認購權證
067498,康和HF,0999,認購權證
067499,康和HG,0999,認購權證
067500,康和HH,0999,認購權證
067501,康和HI,0999,認購權證
067502,永豐4K,0999,認購權證
067503,永豐4L,0999,認購權證
067504,永豐4M,0999,認購權證
067505,永豐4N,0999,認購權證
067506,永豐4P,0999,認購權證
067507,永豐4Q,0999,認購權證
067508,永豐4R,0999,認購權證
067509,永豐4S,0999,認購權證
067510,永豐4T,0999,認購權證
067511,永豐4U,0999,認購權證
067512,永豐4V,0999,認購權證
067513,XG元大,0999,認購權證
067514,XH元大,0999,認購權證
067515,統一1E,0999,認購權證
067516,群益HX,0999,認購權證
067517,群益HY,0999,認購權證
067518,群益HZ,0999,認購權證
067519,群益IA,0999,認購權證
067520,群益IB,0999,認購權證
067521,日盛BT,0999,認購權證
067522,日盛BU,0999,認購權證
067523,F1凱基,0999,認購權證
067524,元富6V,0999,認購權證
067525,元富6W,0999,認購權證
067526,日盛BW,0999,認購權證
067527,日盛BX,0999,認購權證
067528,85中信,0999,認購權證
067529,E3富邦,0999,認購權證
067530,XK元大,0999,認購權證
067531,E9凱基,0999,認購權證
067532,F3凱基,0999,認購權證
067533,F4凱基,0999,認購權證
067534,永豐4W,0999,認購權證
067535,永豐5B,0999,認購權證
067536,H4亞東,0999,認購權證
067537,統一1G,0999,認購權證
067538,統一1H,0999,認購權證
067539,統一1J,0999,認購權證
067540,統一1K,0999,認購權證
067541,元富7B,0999,認購權證
067542,元富7C,0999,認購權證
067543,元富7D,0999,認購權證
067544,元富7E,0999,認購權證
067545,86中信,0999,認購權證
067546,兆豐4S,0999,認購權證
067547,兆豐4T,0999,認購權證
067548,兆豐4U,0999,認購權證
067549,兆豐4V,0999,認購權證
067550,兆豐4W,0999,認購權證
067551,兆豐4X,0999,認購權證
067552,兆豐4Y,0999,認購權證
067553,兆豐4Z,0999,認購權證
067554,兆豐5A,0999,認購權證
067555,兆豐5B,0999,認購權證
067556,兆豐5C,0999,認購權證
067557,兆豐5D,0999,認購權證
067558,兆豐5E,0999,認購權證
067559,兆豐5F,0999,認購權證
067560,兆豐5G,0999,認購權證
067561,兆豐5H,0999,認購權證
067562,兆豐5J,0999,認購權證
067563,兆豐5K,0999,認購權證
067564,國票JZ,0999,認購權證
067565,國票KA,0999,認購權證
067566,國票KB,0999,認購權證
067567,康和HJ,0999,認購權證
067568,康和HK,0999,認購權證
067569,康和HL,0999,認購權證
067570,統一1N,0999,認購權證
067571,F6凱基,0999,認購權證
067572,工銀15,0999,認購權證
067573,工銀16,0999,認購權證
067574,永豐5C,0999,認購權證
067575,永豐5D,0999,認購權證
067576,永豐5F,0999,認購權證
067577,E5富邦,0999,認購權證
067578,E6富邦,0999,認購權證
067579,E7富邦,0999,認購權證
067580,E8富邦,0999,認購權證
067581,E9富邦,0999,認購權證
067582,XP元大,0999,認購權證
067583,XQ元大,0999,認購權證
067584,XR元大,0999,認購權證
067585,XS元大,0999,認購權證
067586,XT元大,0999,認購權證
067587,群益IE,0999,認購權證
067588,群益IF,0999,認購權證
067589,群益IH,0999,認購權證
067590,群益II,0999,認購權證
067591,群益IJ,0999,認購權證
067592,工銀17,0999,認購權證
067593,工銀18,0999,認購權證
067594,F7凱基,0999,認購權證
067595,F8凱基,0999,認購權證
067596,F9凱基,0999,認購權證
067597,G1凱基,0999,認購權證
067598,統一1Q,0999,認購權證
067599,YB元大,0999,認購權證
067600,YC元大,0999,認購權證
067601,YD元大,0999,認購權證
067602,YE元大,0999,認購權證
067603,YF元大,0999,認購權證
067604,YG元大,0999,認購權證
067605,YH元大,0999,認購權證
067606,YI元大,0999,認購權證
067607,YJ元大,0999,認購權證
067608,日盛BZ,0999,認購權證
067609,日盛CA,0999,認購權證
067610,日盛CB,0999,認購權證
067611,H7亞東,0999,認購權證
067612,H8亞東,0999,認購權證
067613,H9亞東,0999,認購權證
067614,J1亞東,0999,認購權證
067615,J2亞東,0999,認購權證
067616,J3亞東,0999,認購權證
067617,F1富邦,0999,認購權證
067618,工銀20,0999,認購權證
067619,工銀21,0999,認購權證
067620,G2凱基,0999,認購權證
067621,G3凱基,0999,認購權證
067622,G4凱基,0999,認購權證
067623,G5凱基,0999,認購權證
067624,兆豐5M,0999,認購權證
067625,兆豐5N,0999,認購權證
067626,兆豐5P,0999,認購權證
067627,兆豐5Q,0999,認購權證
067628,兆豐5R,0999,認購權證
067629,永豐5G,0999,認購權證
067630,永豐5H,0999,認購權證
067631,永豐5I,0999,認購權證
067632,永豐5J,0999,認購權證
067633,永豐5K,0999,認購權證
067634,永豐5L,0999,認購權證
067635,永豐5N,0999,認購權證
067636,永豐5P,0999,認購權證
067637,永豐5Q,0999,認購權證
067638,永豐5S,0999,認購權證
067639,87中信,0999,認購權證
067640,日盛CD,0999,認購權證
067641,日盛CE,0999,認購權證
067642,日盛CF,0999,認購權證
067643,日盛CG,0999,認購權證
067644,J5亞東,0999,認購權證
067645,J6亞東,0999,認購權證
067646,J7亞東,0999,認購權證
067647,J8亞東,0999,認購權證
067648,F5富邦,0999,認購權證
067649,F6富邦,0999,認購權證
067650,YP元大,0999,認購權證
067651,YQ元大,0999,認購權證
067652,YR元大,0999,認購權證
067653,YS元大,0999,認購權證
067654,YT元大,0999,認購權證
067655,YU元大,0999,認購權證
067656,YV元大,0999,認購權證
067657,YW元大,0999,認購權證
067658,YX元大,0999,認購權證
067659,YY元大,0999,認購權證
067660,YZ元大,0999,認購權證
067661,ZA元大,0999,認購權證
067662,ZB元大,0999,認購權證
067663,ZC元大,0999,認購權證
067664,國泰JM,0999,認購權證
067665,國泰JN,0999,認購權證
067666,康和HP,0999,認購權證
067667,康和HQ,0999,認購權證
067668,康和HR,0999,認購權證
067669,元富7H,0999,認購權證
067670,元富7J,0999,認購權證
067671,元富7K,0999,認購權證
067672,元富7L,0999,認購權證
067673,元富7M,0999,認購權證
067674,元富7N,0999,認購權證
067675,元富7P,0999,認購權證
067676,元富7Q,0999,認購權證
067677,89中信,0999,認購權證
067678,90中信,0999,認購權證
067679,ZH元大,0999,認購權證
067680,ZI元大,0999,認購權證
067681,ZJ元大,0999,認購權證
067682,ZK元大,0999,認購權證
067683,ZL元大,0999,認購權證
067684,ZM元大,0999,認購權證
067685,國泰JP,0999,認購權證
067686,國泰JQ,0999,認購權證
067687,國票KF,0999,認購權證
067688,國票KG,0999,認購權證
067689,國票KH,0999,認購權證
067690,國票KJ,0999,認購權證
067691,國票KN,0999,認購權證
067692,國票KP,0999,認購權證
067693,統一1R,0999,認購權證
067694,G6凱基,0999,認購權證
067695,G7凱基,0999,認購權證
067696,G9凱基,0999,認購權證
067697,H1凱基,0999,認購權證
067698,H2凱基,0999,認購權證
067699,H4凱基,0999,認購權證
067700,H5凱基,0999,認購權證
067701,日盛CJ,0999,認購權證
067702,日盛CK,0999,認購權證
067703,J9亞東,0999,認購權證
067704,群益IM,0999,認購權證
067705,群益IQ,0999,認購權證
067706,群益IR,0999,認購權證
067707,群益IS,0999,認購權證
067708,群益IT,0999,認購權證
067709,群益IU,0999,認購權證
067710,群益IV,0999,認購權證
067711,群益IW,0999,認購權證
067712,群益IX,0999,認購權證
067713,群益IY,0999,認購權證
067714,群益IZ,0999,認購權證
067715,群益JA,0999,認購權證
067716,群益JB,0999,認購權證
067717,永豐5T,0999,認購權證
067718,永豐5U,0999,認購權證
067719,永豐5V,0999,認購權證
067720,臺銀50,0999,認購權證
067721,F8富邦,0999,認購權證
067722,F9富邦,0999,認購權證
067723,G1富邦,0999,認購權證
067724,G2富邦,0999,認購權證
067725,G3富邦,0999,認購權證
067726,G4富邦,0999,認購權證
067727,G5富邦,0999,認購權證
067728,元富7S,0999,認購權證
067729,元富7T,0999,認購權證
067730,元富7U,0999,認購權證
067731,元富7V,0999,認購權證
067732,元富7W,0999,認購權證
067733,元富7X,0999,認購權證
067734,元富7Y,0999,認購權證
067735,元富7Z,0999,認購權證
067736,元富8A,0999,認購權證
067737,元富8B,0999,認購權證
067738,元富8C,0999,認購權證
067739,元富8D,0999,認購權證
067740,元富8E,0999,認購權證
067741,兆豐5S,0999,認購權證
067742,兆豐5T,0999,認購權證
067743,兆豐5U,0999,認購權證
067744,兆豐5V,0999,認購權證
067745,兆豐5W,0999,認購權證
067746,兆豐5X,0999,認購權證
067747,兆豐5Y,0999,認購權證
067748,兆豐5Z,0999,認購權證
067749,兆豐6A,0999,認購權證
067750,兆豐6B,0999,認購權證
067751,兆豐6C,0999,認購權證
067752,兆豐6D,0999,認購權證
067753,大眾D7,0999,認購權證
067754,大眾D8,0999,認購權證
067755,大眾D9,0999,認購權證
067756,H6凱基,0999,認購權證
067757,H7凱基,0999,認購權證
067758,日盛CN,0999,認購權證
067759,日盛CP,0999,認購權證
067760,日盛CQ,0999,認購權證
067761,K1亞東,0999,認購權證
067762,K2亞東,0999,認購權證
067763,K3亞東,0999,認購權證
067764,K4亞東,0999,認購權證
067765,K5亞東,0999,認購權證
067766,K6亞東,0999,認購權證
067767,G7富邦,0999,認購權證
067768,G8富邦,0999,認購權證
067769,G9富邦,0999,認購權證
067770,H1富邦,0999,認購權證
067771,康和HT,0999,認購權證
067772,康和HU,0999,認購權證
067773,康和HW,0999,認購權證
067774,康和HX,0999,認購權證
067775,康和HY,0999,認購權證
067776,康和HZ,0999,認購權證
067777,統一1S,0999,認購權證
067778,統一1T,0999,認購權證
067779,統一1U,0999,認購權證
067780,元富8G,0999,認購權證
067781,元富8H,0999,認購權證
067782,永豐5Z,0999,認購權證
067783,永豐6A,0999,認購權證
067784,永豐6B,0999,認購權證
067785,永豐6C,0999,認購權證
067786,永豐6D,0999,認購權證
067787,永豐6E,0999,認購權證
067788,永豐6F,0999,認購權證
067789,永豐6H,0999,認購權證
067790,永豐6K,0999,認購權證
067791,永豐6L,0999,認購權證
067792,永豐6M,0999,認購權證
067793,永豐6N,0999,認購權證
067794,ZP元大,0999,認購權證
067795,ZQ元大,0999,認購權證
067796,ZR元大,0999,認購權證
067797,ZS元大,0999,認購權證
067798,ZT元大,0999,認購權證
067799,ZU元大,0999,認購權證
067800,國泰JR,0999,認購權證
067801,兆豐6L,0999,認購權證
067802,兆豐6M,0999,認購權證
067803,兆豐6N,0999,認購權證
067804,兆豐6P,0999,認購權證
067805,兆豐6R,0999,認購權證
067806,兆豐6S,0999,認購權證
067807,日盛CS,0999,認購權證
067808,日盛CT,0999,認購權證
067809,K7亞東,0999,認購權證
067810,H3富邦,0999,認購權證
067811,91中信,0999,認購權證
067812,92中信,0999,認購權證
067813,93中信,0999,認購權證
067814,94中信,0999,認購權證
067815,國票KQ,0999,認購權證
067816,國票KR,0999,認購權證
067817,元富8J,0999,認購權證
067818,元富8K,0999,認購權證
067819,元富8L,0999,認購權證
067820,元富8M,0999,認購權證
067821,元富8N,0999,認購權證
067822,統一1W,0999,認購權證
067823,統一1X,0999,認購權證
067824,永豐6P,0999,認購權證
067825,永豐6Q,0999,認購權證
067826,永豐6R,0999,認購權證
067827,永豐6S,0999,認購權證
067828,永豐6T,0999,認購權證
067829,永豐6U,0999,認購權證
067830,H8凱基,0999,認購權證
067831,J6凱基,0999,認購權證
067832,J7凱基,0999,認購權證
067833,J8凱基,0999,認購權證
067834,J9凱基,0999,認購權證
067835,K1凱基,0999,認購權證
067836,K2凱基,0999,認購權證
067837,K3凱基,0999,認購權證
067838,K4凱基,0999,認購權證
067839,K6凱基,0999,認購權證
067840,工銀26,0999,認購權證
067841,工銀27,0999,認購權證
067842,工銀28,0999,認購權證
067843,工銀29,0999,認購權證
067844,工銀30,0999,認購權證
067845,99中信,0999,認購權證
067846,A1中信,0999,認購權證
067847,永昌FZ,0999,認購權證
067848,永昌GA,0999,認購權證
067849,永昌GB,0999,認購權證
067850,永昌GC,0999,認購權證
067851,K7凱基,0999,認購權證
067852,K9凱基,0999,認購權證
067853,L1凱基,0999,認購權證
067854,L2凱基,0999,認購權證
067855,工銀32,0999,認購權證
067856,ZX元大,0999,認購權證
067857,ZY元大,0999,認購權證
067858,ZZ元大,0999,認購權證
067859,元大AA,0999,認購權證
067860,元大AB,0999,認購權證
067861,元富8Q,0999,認購權證
067862,元富8R,0999,認購權證
067863,元富8S,0999,認購權證
067864,群益JG,0999,認購權證
067865,群益JH,0999,認購權證
067866,群益JL,0999,認購權證
067867,群益JM,0999,認購權證
067868,群益JN,0999,認購權證
067869,群益JP,0999,認購權證
067870,永豐6V,0999,認購權證
067871,永豐6W,0999,認購權證
067872,康和IB,0999,認購權證
067873,統一1Z,0999,認購權證
067874,日盛CU,0999,認購權證
067875,日盛CV,0999,認購權證
067876,日盛CW,0999,認購權證
067877,日盛CX,0999,認購權證
067878,日盛CY,0999,認購權證
067879,日盛CZ,0999,認購權證
067880,H5富邦,0999,認購權證
067881,H6富邦,0999,認購權證
067882,H7富邦,0999,認購權證
067883,日盛DB,0999,認購權證
067884,日盛DC,0999,認購權證
067885,K8亞東,0999,認購權證
067886,A2中信,0999,認購權證
067887,A3中信,0999,認購權證
067888,A4中信,0999,認購權證
067889,L5凱基,0999,認購權證
067890,永豐7B,0999,認購權證
067891,永豐7C,0999,認購權證
067892,國票KT,0999,認購權證
067893,國票KU,0999,認購權證
067894,國票KV,0999,認購權證
067895,統一2A,0999,認購權證
067896,統一2B,0999,認購權證
067897,統一2C,0999,認購權證
067898,統一2D,0999,認購權證
067899,元富8V,0999,認購權證
067900,元富8W,0999,認購權證
067901,元富8X,0999,認購權證
